cell_type,gene_name,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Fibroblast,CFD,83.714836,0.2884711,0.0,0.0,0.9574211991273602,0.9656171344446027
Fibroblast,C1S,67.85126,0.21059823,0.0,0.0,0.983261867148123,0.9639074891959918
Fibroblast,SERPING1,65.787346,0.20182572,0.0,0.0,0.9861957421199128,0.9693688559623878
Fibroblast,GSN,62.587425,0.23000103,0.0,0.0,0.9867223350635673,0.9750201833119627
Fibroblast,C1R,58.892143,0.21201648,0.0,0.0,0.9741217181975476,0.9639549793417865
Fibroblast,MGST1,57.729122,0.19468541,0.0,0.0,0.9436545550289626,0.9780120624970319
Fibroblast,COL6A2,55.834953,0.20247017,0.0,0.0,0.9758519521552697,0.9641924300707603
Fibroblast,S100A10,52.755264,0.20794727,0.0,0.0,0.9549010757541563,0.9689889347960299
Fibroblast,TIMP3,52.588886,0.2163282,0.0,0.0,0.9556533513879485,0.9670893289642399
Fibroblast,S100A11,52.563824,0.18230963,0.0,0.0,0.9651696381554201,0.9744977917082206
Fibroblast,DCN,50.534756,0.27947423,0.0,0.0,0.9929286090423531,0.9639074891959918
Fibroblast,SELENOM,50.098644,0.18103427,0.0,0.0,0.9460618370570977,0.969321365816593
Fibroblast,ANXA2,49.260162,0.19295822,0.0,0.0,0.9658090724441435,0.9671368191100347
Fibroblast,S100A13,48.844757,0.1947253,0.0,0.0,0.9380124877755209,0.9653321935698342
Fibroblast,CD63,47.668255,0.17877951,0.0,0.0,0.9872489280072219,0.9826660967849171
Fibroblast,JUNB,47.110447,0.2286854,0.0,0.0,0.9071315730083502,0.9782970033718004
Fibroblast,ATP6V0E1,46.912434,0.14641447,0.0,0.0,0.913638757240653,0.9890297763214133
Fibroblast,CYBRD1,46.384037,0.20439969,0.0,0.0,0.9060783871210412,0.9717908533979199
Fibroblast,SERPINF1,46.175888,0.2038914,0.0,0.0,0.9724290980215151,0.9652847034240395
Fibroblast,LRP1,45.76414,0.19066109,0.0,0.0,0.9526442488527797,0.9645248610913235
Fibroblast,LGALS1,45.431282,0.18737128,0.0,0.0,0.9710373880989994,0.969321365816593
Fibroblast,TIMP2,45.14607,0.19665313,0.0,0.0,0.9344391785150079,0.970841050482025
Fibroblast,FSTL1,45.118725,0.21262063,0.0,0.0,0.942262845106447,0.9644773709455288
Fibroblast,COL6A1,43.690254,0.1960525,0.0,0.0,0.9609192808244941,0.9641449399249655
Fibroblast,NNMT,43.24609,0.214406,0.0,0.0,0.9438802377191002,0.964619841382913
Fibroblast,CALD1,43.142162,0.18796638,0.0,0.0,0.9770932069510269,0.9640024694875813
Fibroblast,CST3,42.80825,0.20911543,0.0,0.0,0.9914992853381479,0.9785819442465689
Fibroblast,GPX3,42.76054,0.23047759,0.0,0.0,0.9628751974723538,0.9640024694875813
Fibroblast,DSTN,41.847927,0.18565814,0.0,0.0,0.9344015647333183,0.9792468062876953
Fibroblast,ANXA5,41.145706,0.17815983,0.0,0.0,0.906379297374558,0.9785819442465689
Fibroblast,MMP2,40.963264,0.21238114,0.0,0.0,0.9387647634093131,0.9649047822576815
Fibroblast,SELENOP,40.821716,0.18899298,0.0,0.0,0.9051756563604905,0.9748777128745785
