gene_name,cell_type,ubiquitousness_index,gene_type,organ,sensitivity_human,specificity_human
CD38,B cells memory,0.016,protein-coding gene,Immune system,0.0,0.0140977
CD80,B cells memory,0.0,protein-coding gene,Immune system,0.0,0.0
CD84,B cells memory,0.023,protein-coding gene,Immune system,0.0,0.0093985
CD86,B cells memory,0.026,protein-coding gene,Immune system,0.0,0.012218
NT5E,B cells memory,0.005,protein-coding gene,Immune system,0.0,0.00720551
PAX5,B cells memory,0.003,protein-coding gene,Immune system,0.0,0.00156642
PTPRC,B cells memory,0.125,protein-coding gene,Immune system,0.0,0.216165
SPIB,B cells memory,0.01,protein-coding gene,Immune system,0.0,0.00877193
ADAM28,B cells memory,0.004,protein-coding gene,Immune system,0.0,0.0172306
AIM2,B cells memory,0.002,protein-coding gene,Immune system,0.0,0.00156642
ALOX5,B cells memory,0.006,protein-coding gene,Immune system,0.0,0.00313283
BACH2,B cells memory,0.003,protein-coding gene,Immune system,0.0,0.00156642
BANK1,B cells memory,0.006,protein-coding gene,Immune system,0.0,0.00845865
BLK,B cells memory,0.005,protein-coding gene,Immune system,0.0,0.00250627
CCR6,B cells memory,0.001,protein-coding gene,Immune system,0.0,0.0
CD180,B cells memory,0.012,protein-coding gene,Immune system,0.0,0.00093985
CD19,B cells memory,0.007,protein-coding gene,Immune system,0.0,0.00783208
CD1C,B cells memory,0.001,protein-coding gene,Immune system,0.0,0.00501253
CD22,B cells memory,0.003,protein-coding gene,Immune system,0.0,0.00313283
CD27,B cells memory,0.018,protein-coding gene,Immune system,0.0,0.0228697
CD37,B cells memory,0.116,protein-coding gene,Immune system,0.0,0.215852
CD69,B cells memory,0.024,protein-coding gene,Immune system,0.0,0.111216
CD72,B cells memory,0.003,protein-coding gene,Immune system,0.0,0.0018797
CD79A,B cells memory,0.024,protein-coding gene,Immune system,0.0,0.0432331
CD79B,B cells memory,0.028,protein-coding gene,Immune system,0.0,0.0429198
CLCA3P,B cells memory,0.0,pseudogene,Immune system,0.0,0.0
CR2,B cells memory,0.001,protein-coding gene,Immune system,0.0,0.00093985
CXCR5,B cells memory,0.001,protein-coding gene,Immune system,0.0,0.0
DENND5B,B cells memory,0.013,protein-coding gene,Immune system,0.0,0.00595238
FCGR2B,B cells memory,0.031,protein-coding gene,Immune system,0.0,0.00469925
FCRL2,B cells memory,0.0,protein-coding gene,Immune system,0.0,0.0
FRK,B cells memory,0.005,protein-coding gene,Immune system,0.0,0.00720551
GNG7,B cells memory,0.009,protein-coding gene,Immune system,0.0,0.0260025
GPR18,B cells memory,0.001,protein-coding gene,Immune system,0.0,0.00689223
GUSBP11,B cells memory,0.0,pseudogene,Immune system,0.0,0.0
HHEX,B cells memory,0.037,protein-coding gene,Immune system,0.0,0.0228697
HLA-DOB,B cells memory,0.001,protein-coding gene,Immune system,0.0,0.00501253
IFNA10,B cells memory,0.0,protein-coding gene,Immune system,0.0,0.0
IGHD,B cells memory,0.008,other,Immune system,0.0,0.00877193
IGHM,B cells memory,0.078,other,Immune system,0.0,0.0551378
IGKC,B cells memory,0.072,other,Immune system,0.0,0.162907
IGLL3P,B cells memory,0.0,pseudogene,Immune system,0.0,0.0
IL7,B cells memory,0.007,protein-coding gene,Immune system,0.0,0.0093985
IRF8,B cells memory,0.069,protein-coding gene,Immune system,0.0,0.0272556
LTB,B cells memory,0.065,protein-coding gene,Immune system,0.0,0.163221
LY86,B cells memory,0.07,protein-coding gene,Immune system,0.0,0.0272556
MBL2,B cells memory,0.002,protein-coding gene,Immune system,0.0,0.000626566
MS4A1,B cells memory,0.014,protein-coding gene,Immune system,0.0,0.0203634
NMBR,B cells memory,0.0,protein-coding gene,Immune system,0.0,0.0
NPIPB15,B cells memory,0.002,protein-coding gene,Immune system,0.0,0.0103383
P2RX5,B cells memory,0.0,protein-coding gene,Immune system,0.0,0.0018797
PNOC,B cells memory,0.009,protein-coding gene,Immune system,0.0,0.00093985
PTPRCAP,B cells memory,0.072,protein-coding gene,Immune system,0.0,0.0
RALGPS2,B cells memory,0.048,protein-coding gene,Immune system,0.0,0.023183
RASGRP2,B cells memory,0.066,protein-coding gene,Immune system,0.0,0.0238095
SIK1,B cells memory,0.029,protein-coding gene,Immune system,0.0,0.0
SIT1,B cells memory,0.003,protein-coding gene,Immune system,0.0,0.00971178
SLC12A1,B cells memory,0.001,protein-coding gene,Immune system,0.0,0.000626566
SP140,B cells memory,0.014,protein-coding gene,Immune system,0.0,0.0037594
STAP1,B cells memory,0.004,protein-coding gene,Immune system,0.0,0.00281955
TMEM156,B cells memory,0.001,protein-coding gene,Immune system,0.0,0.00501253
TNFRSF13B,B cells memory,0.016,protein-coding gene,Immune system,0.0,0.00532581
TNFRSF17,B cells memory,0.005,protein-coding gene,Immune system,0.0,0.0100251
TRAF4,B cells memory,0.062,protein-coding gene,Immune system,0.0,0.0
VPREB3,B cells memory,0.011,protein-coding gene,Immune system,0.0,0.0169173
ZBTB32,B cells memory,0.004,protein-coding gene,Immune system,0.0,0.0150376
CD19,B cells naive,0.007,protein-coding gene,Immune system,0.0,0.00786906
CD2,B cells naive,0.04,protein-coding gene,Immune system,0.0,0.0944287
CD72,B cells naive,0.003,protein-coding gene,Immune system,0.0,0.00188857
IL2RA,B cells naive,0.009,protein-coding gene,Immune system,0.0,0.0201448
MME,B cells naive,0.017,protein-coding gene,Immune system,0.0,0.0270696
ABCB4,B cells naive,0.002,protein-coding gene,Immune system,0.0,0.0
ADAM28,B cells naive,0.004,protein-coding gene,Immune system,0.333333,0.0157381
BACH2,B cells naive,0.003,protein-coding gene,Immune system,0.0,0.00157381
BANK1,B cells naive,0.006,protein-coding gene,Immune system,0.533333,0.00598048
BCL7A,B cells naive,0.078,protein-coding gene,Immune system,0.0,0.0141643
BEND5,B cells naive,0.007,protein-coding gene,Immune system,0.0,0.00157381
BLK,B cells naive,0.005,protein-coding gene,Immune system,0.0666667,0.00220334
BRAF,B cells naive,0.025,protein-coding gene,Immune system,0.0,0.0160529
CD180,B cells naive,0.012,protein-coding gene,Immune system,0.0,0.000944287
CD1C,B cells naive,0.001,protein-coding gene,Immune system,0.0,0.0050362
CD22,B cells naive,0.003,protein-coding gene,Immune system,0.0666667,0.00283286
CD37,B cells naive,0.116,protein-coding gene,Immune system,1.0,0.21215
CD69,B cells naive,0.024,protein-coding gene,Immune system,0.666667,0.108593
CD79A,B cells naive,0.024,protein-coding gene,Immune system,0.933333,0.0390305
CD79B,B cells naive,0.028,protein-coding gene,Immune system,1.0,0.038401
CR2,B cells naive,0.001,protein-coding gene,Immune system,0.0,0.000944287
CXCR5,B cells naive,0.001,protein-coding gene,Immune system,0.0,0.0
EAF2,B cells naive,0.009,protein-coding gene,Immune system,0.133333,0.0302172
FCER2,B cells naive,0.002,protein-coding gene,Immune system,0.4,0.000314762
FCGR2B,B cells naive,0.031,protein-coding gene,Immune system,0.0,0.00472144
FCRL2,B cells naive,0.0,protein-coding gene,Immune system,0.0,0.0
FRK,B cells naive,0.005,protein-coding gene,Immune system,0.0,0.00723953
GPR18,B cells naive,0.001,protein-coding gene,Immune system,0.0,0.00692477
GUSBP11,B cells naive,0.0,pseudogene,Immune system,0.0,0.0
HHEX,B cells naive,0.037,protein-coding gene,Immune system,0.0,0.0229777
HLA-DOB,B cells naive,0.001,protein-coding gene,Immune system,0.0,0.0050362
IGHD,B cells naive,0.008,other,Immune system,0.866667,0.00472144
IGHM,B cells naive,0.078,other,Immune system,1.0,0.0506767
IGKC,B cells naive,0.072,other,Immune system,1.0,0.158955
IGLL3P,B cells naive,0.0,pseudogene,Immune system,0.0,0.0
IL4R,B cells naive,0.002,protein-coding gene,Immune system,0.4,0.00849858
IRF8,B cells naive,0.069,protein-coding gene,Immune system,0.2,0.02644
LTB,B cells naive,0.065,protein-coding gene,Immune system,1.0,0.15927
LY86,B cells naive,0.07,protein-coding gene,Immune system,0.2,0.02644
MEP1A,B cells naive,0.004,protein-coding gene,Immune system,0.0,0.000944287
MICAL3,B cells naive,0.02,protein-coding gene,Immune system,0.0,0.0100724
MS4A1,B cells naive,0.014,protein-coding gene,Immune system,1.0,0.0157381
NMBR,B cells naive,0.0,protein-coding gene,Immune system,0.0,0.0
P2RX5,B cells naive,0.0,protein-coding gene,Immune system,0.0,0.00188857
P2RY14,B cells naive,0.012,protein-coding gene,Immune system,0.0,0.00346239
PNOC,B cells naive,0.009,protein-coding gene,Immune system,0.0,0.000944287
PSG2,B cells naive,0.0,protein-coding gene,Immune system,0.0,0.0
PTPRCAP,B cells naive,0.072,protein-coding gene,Immune system,0.0,0.0
RALGPS2,B cells naive,0.048,protein-coding gene,Immune system,0.0,0.0232924
RASGRP2,B cells naive,0.066,protein-coding gene,Immune system,0.0666667,0.0236072
SELL,B cells naive,0.035,protein-coding gene,Immune system,0.533333,0.0579163
SIK1,B cells naive,0.029,protein-coding gene,Immune system,0.0,0.0
SLC12A1,B cells naive,0.001,protein-coding gene,Immune system,0.0,0.000629525
SPIB,B cells naive,0.01,protein-coding gene,Immune system,0.0,0.00881335
STAP1,B cells naive,0.004,protein-coding gene,Immune system,0.0,0.00283286
TCL1A,B cells naive,0.003,protein-coding gene,Immune system,0.733333,0.0116462
UGT1A8,B cells naive,0.0,other,Immune system,0.0,0.0
VPREB3,B cells naive,0.011,protein-coding gene,Immune system,0.533333,0.0144791
ZNF286A,B cells naive,0.0,protein-coding gene,Immune system,0.0,0.000944287
TNFSF8,B cells naive,0.001,protein-coding gene,Immune system,0.0,0.0
FOXP1,B cells naive,0.174,protein-coding gene,Immune system,0.8,0.229777
MITF,B cells naive,0.004,protein-coding gene,Immune system,0.0,0.00598048
CD52,B cells naive,0.181,protein-coding gene,Immune system,1.0,0.274473
HLA-DQB1,B cells naive,0.012,protein-coding gene,Immune system,0.866667,0.0610639
TNFRSF13C,B cells naive,0.008,protein-coding gene,Immune system,0.933333,0.0147938
LINC00926,B cells naive,0.003,non-coding RNA,Immune system,0.933333,0.0113314
STAG3,B cells naive,0.006,protein-coding gene,Immune system,0.0666667,0.0182562
BIRC3,B cells naive,0.026,protein-coding gene,Immune system,0.533333,0.0812087
CD74,B cells naive,0.169,protein-coding gene,Immune system,1.0,0.360718
CD69,Basophils,0.024,protein-coding gene,Immune system,0.0,0.111216
IL3RA,Basophils,0.008,protein-coding gene,Immune system,0.0,0.0
CCR3,Basophils,0.001,protein-coding gene,Immune system,0.0,0.0
ENPP3,Basophils,0.002,protein-coding gene,Immune system,0.0,0.0
FCER1A,Basophils,0.004,protein-coding gene,Immune system,0.0,0.0184837
TLR4,Basophils,0.0,protein-coding gene,Immune system,0.0,0.000313283
LTC4S,Basophils,0.037,protein-coding gene,Immune system,0.0,0.00783208
CPA3,Basophils,0.009,protein-coding gene,Immune system,0.0,0.00845865
ITGAL,Basophils,0.013,protein-coding gene,Immune system,0.0,0.00407268
ITGAM,Basophils,0.025,protein-coding gene,Immune system,0.0,0.00313283
ITGAX,Basophils,0.007,protein-coding gene,Immune system,0.0,0.0162907
IL4R,Basophils,0.002,protein-coding gene,Immune system,0.0,0.0103383
ITGB7,Basophils,0.031,protein-coding gene,Immune system,0.0,0.0
IL4,Basophils,0.002,protein-coding gene,Immune system,0.0,0.0
MS4A2,Basophils,0.003,protein-coding gene,Immune system,0.0,0.0018797
MS4A3,Basophils,0.013,protein-coding gene,Immune system,0.0,0.00313283
HDC,Basophils,0.019,protein-coding gene,Immune system,0.0,0.00156642
GATA2,Basophils,0.02,protein-coding gene,Immune system,0.0,0.0134712
CCL3,Basophils,0.036,protein-coding gene,Immune system,0.0,0.00783208
CD33,Basophils,0.017,protein-coding gene,Immune system,0.0,0.0125313
