gene_name,gene_type
ZNF354C,transcription_factor
KLF12,transcription_factor
ZNF143,transcription_factor
ZIC2,transcription_factor
ZNF274,transcription_factor
SP2,transcription_factor
ZBTB7A,transcription_factor
BCL6B,transcription_factor
ZBTB49,transcription_factor
ZIC1,transcription_factor
ZNF232,transcription_factor
ZNF282,transcription_factor
ZNF410,transcription_factor
ZSCAN16,transcription_factor
ZNF524,transcription_factor
ZNF713,transcription_factor
ZNF75A,transcription_factor
ZSCAN4,transcription_factor
ZNF200,transcription_factor
SNAI2,transcription_factor
KLF1,transcription_factor
BCL6,transcription_factor
EGR2,transcription_factor
OVOL2,transcription_factor
GFI1,transcription_factor
GFI1B,transcription_factor
KLF11,transcription_factor
WT1,transcription_factor
ZNF655,transcription_factor
FOXC1,transcription_factor
ARX,transcription_factor
VSX1,transcription_factor
CRX,transcription_factor
PBX4,transcription_factor
PHOX2B,transcription_factor
VAX2,transcription_factor
VSX2,transcription_factor
MSX2,transcription_factor
ESX1,transcription_factor
HOXD13,transcription_factor
NKX2-8,transcription_factor
VENTX,transcription_factor
HESX1,transcription_factor
PITX2,transcription_factor
PROP1,transcription_factor
ISX,transcription_factor
NKX2-5,transcription_factor
SIX6,transcription_factor
HOXC4,transcription_factor
HOXB7,transcription_factor
PAX6,transcription_factor
PAX7,transcription_factor
PAX4,transcription_factor
PAX3,transcription_factor
POU4F3,transcription_factor
POU6F2,transcription_factor
POU3F4,transcription_factor
NR1H4,transcription_factor
NR2E3,transcription_factor
POU2F1,transcription_factor
RBPJ,transcription_factor
FOXP1,transcription_factor
MAX,transcription_factor
PHF1,transcription_factor
MTF2,transcription_factor
BCL11A,transcription_factor
BCL11B,transcription_factor
FOXN2,transcription_factor
FOXR1,transcription_factor
SOX4,transcription_factor
SOHLH2,transcription_factor
ZSCAN29,transcription_factor
PLAGL2,transcription_factor
VEZF1,transcription_factor
ZBTB44,transcription_factor
CENPBD1,transcription_factor
TIGD1,transcription_factor
CXXC5,transcription_factor
FOXN3,transcription_factor
HDX,transcription_factor
DUXA,transcription_factor
MSANTD3,transcription_factor
ZZZ3,transcription_factor
LCORL,transcription_factor
NFATC4,transcription_factor
CUX2,transcription_factor
CUX1,transcription_factor
DLX3,transcription_factor
LHX9,transcription_factor
POU5F1B,transcription_factor
NFATC2,transcription_factor
ZFHX3,transcription_factor
KDM2B,transcription_factor
KMT2A,transcription_factor
DNMT1,transcription_factor
TET1,transcription_factor
DMRT3,transcription_factor
DMRT1,transcription_factor
DMRTA2,transcription_factor
DMRT2,transcription_factor
E2F2,transcription_factor
FOXK1,transcription_factor
FOXG1,transcription_factor
GCM1,transcription_factor
HOXA2,transcription_factor
NOBOX,transcription_factor
LHX2,transcription_factor
LHX6,transcription_factor
TLX2,transcription_factor
EMX1,transcription_factor
ZFHX2,transcription_factor
LBX1,transcription_factor
HOXB13,transcription_factor
ZHX1,transcription_factor
POU6F1,transcription_factor
SHOX,transcription_factor
ANHX,transcription_factor
MYRF,transcription_factor
NR2E1,transcription_factor
NR3C2,transcription_factor
NR2F6,transcription_factor
RARG,transcription_factor
NFATC3,transcription_factor
RFX2,transcription_factor
GMEB1,transcription_factor
THAP12,transcription_factor
GLI2,transcription_factor
GLI3,transcription_factor
GLI1,transcription_factor
ETS1,transcription_factor
NFIL3,transcription_factor
MZF1,transcription_factor
RREB1,transcription_factor
SPIB,transcription_factor
FOXF2,transcription_factor
FOXD1,transcription_factor
PBX1,transcription_factor
IRF2,transcription_factor
RORA,transcription_factor
PPARG,transcription_factor
REL,transcription_factor
RELA,transcription_factor
SOX9,transcription_factor
SRY,transcription_factor
TFEB,transcription_factor
TCF4,transcription_factor
CEBPE,transcription_factor
XBP1,transcription_factor
PRDM1,transcription_factor
EHF,transcription_factor
ERG,transcription_factor
FOXJ3,transcription_factor
GATA1,transcription_factor
MEIS2,transcription_factor
