Gene,TPM
A1BG,81.63
A1CF,0.00
A2M,14.62
A2ML1,0.08
A3GALT2,0.00
A4GALT,6.13
A4GNT,0.00
AAAS,7.91
AACS,1.52
AADAC,0.00
AADACL2,0.00
AADACL3,0.00
AADACL4,0.09
AADAT,1.39
AAGAB,6.37
AAK1,9.34
AAMDC,269.46
AAMP,22.51
AANAT,0.00
AAR2,4.13
AARD,0.66
AARS1,4.94
AARS2,0.72
AARSD1,14.33
AASDH,1.46
AASDHPPT,5.81
AASS,0.82
AATF,4.75
AATK,0.04
ABAT,1.11
ABCA1,0.45
ABCA10,0.03
ABCA12,0.01
ABCA13,0.01
ABCA2,0.14
ABCA3,0.05
ABCA4,0.05
ABCA5,2.09
ABCA6,0.14
ABCA7,0.03
ABCA8,0.05
ABCA9,0.12
ABCB1,0.00
ABCB10,0.55
ABCB11,0.00
ABCB4,0.33
ABCB5,0.00
ABCB6,0.23
ABCB7,0.93
ABCB8,1.10
ABCB9,0.09
ABCC1,1.83
ABCC10,8.59
ABCC11,0.00
ABCC12,0.00
ABCC2,0.00
ABCC3,3.21
ABCC4,0.82
ABCC5,2.12
ABCC6,1.23
ABCC8,0.00
ABCC9,0.79
ABCD1,0.23
ABCD2,0.00
ABCD3,3.03
ABCD4,1.51
ABCE1,7.16
ABCF1,21.80
ABCF2,5.82
ABCF2-H2BE1,0.04
ABCF3,6.79
ABCG1,0.00
ABCG2,0.06
ABCG4,0.00
ABCG5,0.00
ABCG8,0.00
ABHD1,0.09
ABHD10,7.71
ABHD11,2.28
ABHD12,6.43
ABHD12B,0.00
ABHD13,0.55
ABHD14A,5.68
ABHD14A-ACY1,0.00
ABHD14B,6.05
ABHD15,0.41
ABHD16A,4.11
ABHD16B,0.00
ABHD17A,1.05
ABHD17B,0.53
ABHD17C,1.72
ABHD18,0.67
ABHD2,1.72
ABHD3,5.97
ABHD4,9.56
ABHD5,2.49
ABHD6,0.64
ABHD8,1.02
ABI1,5.39
ABI2,2.78
ABI3,0.34
ABI3BP,0.61
ABITRAM,6.33
ABL1,1.18
ABL2,2.35
ABLIM1,0.36
ABLIM2,0.00
ABLIM3,1.56
ABO,0.00
ABR,4.61
ABRA,0.00
ABRACL,121.34
ABRAXAS1,4.46
ABRAXAS2,2.59
ABT1,4.84
ABTB1,1.31
ABTB2,0.96
ACAA1,5.62
ACAA2,20.99
ACACA,7.50
ACACB,0.55
ACAD10,0.46
ACAD11,2.31
ACAD8,1.56
ACAD9,4.68
ACADL,0.03
ACADM,7.76
ACADS,1.48
ACADSB,0.86
ACADVL,21.64
ACAN,0.00
ACAP1,50.77
ACAP2,1.05
ACAP3,0.79
ACAT1,32.57
ACAT2,30.07
ACBD3,9.29
ACBD4,1.35
ACBD5,0.82
ACBD6,8.80
ACBD7,0.29
ACCS,0.66
ACCSL,0.00
ACD,1.55
ACE,0.19
ACE2,0.00
ACER1,0.00
ACER2,0.03
ACER3,0.82
ACHE,0.00
ACIN1,11.74
ACKR1,0.00
ACKR2,0.00
ACKR3,0.23
ACKR4,48.78
ACLY,5.57
ACMSD,1.50
ACO1,3.76
ACO2,9.21
ACOD1,0.00
ACOT1,0.45
ACOT11,0.28
ACOT12,0.00
ACOT13,10.12
ACOT2,7.54
ACOT4,0.20
ACOT6,0.11
ACOT7,11.01
ACOT8,20.77
ACOT9,12.63
ACOX1,1.88
ACOX2,1.09
ACOX3,1.65
ACOXL,0.00
ACP1,86.46
ACP2,20.12
ACP3,0.00
ACP4,0.00
ACP5,1.76
ACP6,0.60
ACP7,0.00
ACR,0.00
ACRBP,0.00
ACRV1,0.05
ACSBG1,0.00
ACSBG2,0.00
ACSF2,1.77
ACSF3,2.20
ACSL1,0.96
ACSL3,4.46
ACSL4,3.36
ACSL5,0.16
ACSL6,0.00
ACSM1,0.00
ACSM2A,0.00
ACSM2B,0.00
ACSM3,2.51
ACSM4,0.00
ACSM5,0.00
ACSM6,0.00
ACSS1,0.23
ACSS2,1.39
ACSS3,0.33
ACTA1,0.00
ACTA2,237.95
ACTB,1636.61
ACTBL2,0.00
ACTC1,0.58
ACTG1,1510.57
ACTG2,16.08
ACTL10,0.25
ACTL6A,21.81
ACTL6B,0.00
ACTL7A,0.00
ACTL7B,0.00
ACTL8,0.00
ACTL9,0.00
ACTN1,60.47
ACTN2,0.00
ACTN3,0.00
ACTN4,115.06
ACTR10,34.33
ACTR1A,21.49
ACTR1B,10.98
ACTR2,18.89
ACTR3,17.64
ACTR3B,0.84
ACTR3C,0.60
ACTR5,0.54
ACTR6,7.45
ACTR8,2.72
ACTRT1,0.00
ACTRT2,0.00
ACTRT3,0.75
ACVR1,3.02
ACVR1B,2.24
ACVR1C,0.00
ACVR2A,0.69
ACVR2B,0.05
ACVRL1,4.57
ACY1,10.11
ACY3,0.00
ACYP1,56.80
ACYP2,25.31
ADA,2.25
ADA2,0.29
ADAD1,0.00
ADAD2,0.00
ADAL,1.46
ADAM10,3.17
ADAM11,0.00
ADAM12,0.54
ADAM15,39.88
ADAM17,0.99
ADAM18,0.00
ADAM19,10.65
ADAM2,0.00
ADAM20,0.00
ADAM21,0.04
ADAM22,0.01
ADAM23,0.03
ADAM28,0.00
ADAM29,0.04
