gene_name,transcript_name,transcript_biotype,UniProtKB,scFib,iHSC,iHSC_transcript_percent,scFib_transcript_percent,iHSC_entropy,scFib_entropy,entropy_diff
ABCF1,ABCF1-201,protein_coding,Q8NE71,418.0,74.0,0.02719588386622565,0.06911375661375661,0.9444082600353713,0.54117879714826,0.40322946288711126
ABCF1,ABCF1-203,protein_coding,Q5STZ8,4862.0,651.0,0.2392502756339581,0.8039021164021164,0.9444082600353713,0.54117879714826,0.40322946288711126
ABCF1,ABCF1-204,protein_coding,F5GYK6,482.0,767.0,0.2818816611539875,0.0796957671957672,0.9444082600353713,0.54117879714826,0.40322946288711126
ABCF1,ABCF1-205,nonsense_mediated_decay,H0YGW7,0.0,36.0,0.013230429988974642,0.0,0.9444082600353713,0.54117879714826,0.40322946288711126
ACOT9,ACOT9-201,protein_coding,Q9Y305,140.0,101.0,0.11910377358490566,0.07604562737642585,0.9059042285724729,1.0062041477271266,0.10029991915465375
ACOT9,ACOT9-206,protein_coding,H7C5Q2,0.0,0.0,0.0,0.0,0.9059042285724729,1.0062041477271266,0.10029991915465375
ACOT9,ACOT9-207,protein_coding,C9J7L8,45.0,17.0,0.020047169811320754,0.024443237370994023,0.9059042285724729,1.0062041477271266,0.10029991915465375
ACOT9,ACOT9-208,nonsense_mediated_decay,F8WDI2,92.0,110.0,0.12971698113207547,0.049972840847365564,0.9059042285724729,1.0062041477271266,0.10029991915465375
ACSL3,ACSL3-201,protein_coding,O95573,292.0,0.0,0.0,0.15540180947312401,0.38582955563316546,0.8359210582139645,0.450091502580799
ACSL3,ACSL3-203,nonsense_mediated_decay,H7BYZ7,1.0,0.0,0.0,0.0005321979776476849,0.38582955563316546,0.8359210582139645,0.450091502580799
ACSL3,ACSL3-204,protein_coding,C9JC11,4.0,58.0,0.03798297314996726,0.0021287919105907396,0.38582955563316546,0.8359210582139645,0.450091502580799
ACSL3,ACSL3-210,protein_coding,F5GWH2,0.0,0.0,0.0,0.0,0.38582955563316546,0.8359210582139645,0.450091502580799
ACSL3,ACSL3-213,protein_coding,A0A7P0TBB1,2.0,0.0,0.0,0.0010643959552953698,0.38582955563316546,0.8359210582139645,0.450091502580799
ACSL3,ACSL3-214,protein_coding,A0A7P0TA76,15.0,1.0,0.0006548788474132286,0.007982969664715274,0.38582955563316546,0.8359210582139645,0.450091502580799
ACSL3,ACSL3-223,nonsense_mediated_decay,A0A7P0TB52,0.0,0.0,0.0,0.0,0.38582955563316546,0.8359210582139645,0.450091502580799
ACSL3,ACSL3-225,nonsense_mediated_decay,A0A7P0T905,111.0,6.0,0.003929273084479371,0.05907397551889303,0.38582955563316546,0.8359210582139645,0.450091502580799
ACSL3,ACSL3-228,nonsense_mediated_decay,A0A7P0TBL9,0.0,0.0,0.0,0.0,0.38582955563316546,0.8359210582139645,0.450091502580799
ACSL3,ACSL3-230,protein_coding,A0A7P0T8L6,2.0,0.0,0.0,0.0010643959552953698,0.38582955563316546,0.8359210582139645,0.450091502580799
ACTG1,ACTG1-201,protein_coding,K7EM38,669.0,125.0,0.0058199087438308966,0.07822731524789522,0.46895577713498593,0.41906691268880936,0.04988886444617657
ACTG1,ACTG1-202,protein_coding,I3L4N8,0.0,1.0,4.6559269950647176e-05,0.0,0.46895577713498593,0.41906691268880936,0.04988886444617657
ACTG1,ACTG1-203,protein_coding,I3L3R2,22.0,1.0,4.6559269950647176e-05,0.0025724976613657625,0.46895577713498593,0.41906691268880936,0.04988886444617657
ACTG1,ACTG1-204,nonsense_mediated_decay,J3KT65,42.0,15.0,0.0006983890492597076,0.004911131898971001,0.46895577713498593,0.41906691268880936,0.04988886444617657
ACTG1,ACTG1-208,protein_coding,I3L1U9,0.0,0.0,0.0,0.0,0.46895577713498593,0.41906691268880936,0.04988886444617657
ACTG1,ACTG1-210,protein_coding,I3L3I0,0.0,0.0,0.0,0.0,0.46895577713498593,0.41906691268880936,0.04988886444617657
ACTG1,ACTG1-216,protein_coding,A0A804GS07,0.0,2.0,9.311853990129435e-05,0.0,0.46895577713498593,0.41906691268880936,0.04988886444617657
