Model,Ensembl_transcript_id,Ensembl_gene_id,Gene_biotype,External_gene_id,Description,Model posterior probability,log(FC),Second model,Second posterior probability,
HSC,ENST00000455385,ENSG00000008282,protein_coding,SYPL1-002,synaptophysin-like 1 [Source:HGNC Symbol;Acc:11507],0.995573597,0.920229,ZERO,0.003642037,
HSC,ENST00000413059,ENSG00000231831,processed_pseudogene,MTHFD1P1-001,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 pseudogene 1 [Source:HGNC Symbol;Acc:7433],0.986479466,4.40574,ZERO,0.00589374,
HSC,ENST00000414503,ENSG00000234643,processed_pseudogene,EIF3FP1-001,"eukaryotic translation initiation factor 3, subunit F pseudogene 1 [Source:HGNC Symbol;Acc:3276]",0.980159491,3.27554,ZERO,0.010752595,
HSC,ENST00000496761,ENSG00000000971,ambiguous_orf,CFH-003,complement factor H [Source:HGNC Symbol;Acc:4883],0.939742537,3.15529,ZERO,0.031288378,
HSC,ENST00000356531,ENSG00000156976,protein_coding,EIF4A2-201,eukaryotic translation initiation factor 4A2 [Source:HGNC Symbol;Acc:3284],0.947391026,1.12982,ZERO,0.03551257,
HSC,ENST00000437865,ENSG00000225278,processed_transcript,BX571672.5-004,,0.933465936,2.00293,ZERO,0.035781258,
HSC,ENST00000565781,ENSG00000125124,retained_intron,BBS2-002,Bardet-Biedl syndrome 2 [Source:HGNC Symbol;Acc:967],0.874874538,2.31831,ZERO,0.061495579,
HSC,ENST00000434751,ENSG00000236062,processed_pseudogene,GSTM5P1-001,glutathione S-transferase mu 5 pseudogene 1 [Source:HGNC Symbol;Acc:4633],0.84803125,2.23099,ZERO,0.07676384,
HSC,ENST00000380319,ENSG00000169239,retained_intron,CA5B-004,"carbonic anhydrase VB, mitochondrial [Source:HGNC Symbol;Acc:1378]",0.857439333,1.68999,ZERO,0.078981898,
HSC,ENST00000556246,ENSG00000258453,unprocessed_pseudogene,OR11H2-001,"olfactory receptor, family 11, subfamily H, member 2 [Source:HGNC Symbol;Acc:14716]",0.828856171,2.87384,ZERO,0.087714405,
HSC,ENST00000575345,ENSG00000108924,protein_coding,HLF-005,hepatic leukemia factor [Source:HGNC Symbol;Acc:4977],0.827176336,1.93354,ZERO,0.095399851,
HSC,ENST00000598892,ENSG00000269834,retained_intron,CTD-3018O17.3-003,,0.776592087,2.43109,ZERO,0.110829512,
